request_id,scenario,request_type,start_ts,end_ts,latency_ms,ttft_ms,prompt_chars,output_chars,max_tokens,status_code,ok,error
cwbfuk9e1v,short-bursts,completions,1775623347.939634,1775623347.940967,1.33,1.33,50,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
y5ibpt11f9,short-bursts,completions,1775623426.5184817,1775623426.519693,1.21,1.21,50,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
m6cfnfholq,short-bursts,completions,1775623339.5244653,1775623339.5258722,1.41,1.41,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
lh9bh811ke,short-bursts,completions,1775623378.1253452,1775623378.1275213,2.18,2.18,203,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
2n2atqyyv3,short-bursts,completions,1775623367.3658388,1775623367.3672526,1.41,1.41,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
o2m71hssbe,short-bursts,completions,1775623403.0539904,1775623403.0557146,1.72,1.72,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
v60vaiy4va,short-bursts,completions,1775623349.5856192,1775623349.5866342,1.01,1.01,203,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
wn2y8fv2bc,short-bursts,completions,1775623395.695241,1775623395.6965852,1.34,1.34,50,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
6qktc89k8y,short-bursts,completions,1775623362.1833308,1775623362.1846986,1.37,1.37,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
flsehuds3q,short-bursts,completions,1775623421.1553342,1775623421.1567054,1.37,1.37,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
uubcxuljyl,short-bursts,completions,1775623326.0941284,1775623326.0952194,1.09,1.09,50,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
ji0y6dpbhs,short-bursts,completions,1775623313.043765,1775623313.0481963,4.43,4.43,50,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
dyt9moge4q,short-bursts,completions,1775623370.4004412,1775623370.4018939,1.45,1.45,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
tzk3ny9v20,short-bursts,completions,1775623406.6067586,1775623406.6082032,1.44,1.44,203,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
2d54i3qk2i,short-bursts,completions,1775623333.2634566,1775623333.264837,1.38,1.38,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
xwc4rtwuzk,short-bursts,completions,1775623391.568863,1775623391.5700483,1.19,1.19,50,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
ht7pze9vif,short-bursts,completions,1775623350.8992193,1775623350.9002311,1.01,1.01,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
